pos,player_name,seed,tag,country
1,"FRITZ, Taylor",1,,USA
2,"GIRON, Marcos",,,USA
3,"NAKASHIMA, Brandon",,,USA
4,"BELLUCCI, Mattia",,,ITA
5,"ZHENG, Michael",,WC,USA
6,"KORDA, Sebastian",,,USA
7,"ATMANE, Terence",,,FRA
8,"TIAFOE, Frances",8,,USA
9,"COBOLLI, Flavio",4,,ITA
10,"PINNINGTON JONES, Jack",,Q,GBR
11,"DUCKWORTH, James",,,AUS
12,"SPIZZIRRI, Eliot",,WC,USA
13,"SVAJDA, Trevor",,WC,USA
14,"QUINN, Ethan",,,USA
15,"CILIC, Marin",,,CRO
16,"TIEN, Learner",6,,USA
17,"SHAPOVALOV, Denis",7,,CAN
18,"JODAR, Rafael",,Q,ESP
19,"KOVACEVIC, Aleksandar",,,USA
20,"OPELKA, Reilly",,,USA
21,"DIMITROV, Grigor",,,BUL
22,"MICHELSEN, Alex",,,USA
23,"SVAJDA, Zachary",,Q,USA
24,"DAVIDOVICH FOKINA, Al…",3,,ESP
25,"PAUL, Tommy",5,,USA
26,"BROOKSBY, Jenson",,,USA
27,"SHIMABUKURO, Sho",,Q,JPN
28,"KECMANOVIC, Miomir",,,SRB
29,"WALTON, Adam",,,AUS
30,"MANNARINO, Adrian",,,FRA
31,"DIALLO, Gabriel",,,CAN
32,"SHELTON, Ben",2,,USA
