pos,player_name,seed,tag,country
1,"AUGER-ALIASSIME, Felix",,,CAN
2,"ZHANG, Zhizhen",,PR,CHN
3,"ECHARGUI, Moez",,,TUN
4,"MPETSHI PERRICARD, …",,,FRA
5,"CARRENO BUSTA, Pablo",,,ESP
6,"SHAPOVALOV, Denis",,,CAN
7,"NARDI, Luca",,,ITA
8,"LEHECKA, Jiri",8,,CZE
10,"SHANG, Juncheng",,PR,CHN
11,"WAWRINKA, Stan",,,SUI
12,"HASSAN, Benjamin",,WC,LBN
13,"BERGS, Zizou",,,BEL
14,"BROOKSBY, Jenson",,,USA
15,"SHEVCHENKO, Alexander",,,KAZ
18,"ROYER, Valentin",,,FRA
19,"HUMBERT, Ugo",,,FRA
20,"TSITSIPAS, Stefanos",,,GRE
21,"MAROZSAN, Fabian",,,HUN
22,"RINDERKNECH, Arthur",,,FRA
23,"HALYS, Quentin",,,FRA
24,"DRAPER, Jack",,,GBR
25,"MENSIK, Jakub",,,CZE
26,"HURKACZ, Hubert",,,POL
27,"POPYRIN, Alexei",,,AUS
28,"MAJCHRZAK, Kamil",,,POL
29,"VIRTANEN, Otto",,,FIN
30,"GRIEKSPOOR, Tallon",,,NED
31,"STRUFF, Jan-Lennard",,,GER
32,"BUBLIK, Alexander",2,,KAZ
