pos,player_name,seed,tag,country
1,"DAVIDOVICH FOKINA, Al…",,,ESP
2,,,BYE,
3,"SCHOOLKATE, Tristan",,,AUS
4,"HIJIKATA, Rinky",,WC,AUS
5,"KOKKINAKIS, Thanasi",,,AUS
6,"KORDA, Sebastian",,,USA
7,"KECMANOVIC, Miomir",,,SRB
8,"VACHEROT, Valentin",,,MON
9,"GRIEKSPOOR, Tallon",,,NED
10,,,BYE,
11,"HUMBERT, Ugo",,,FRA
12,"ATMANE, Terence",,,FRA
13,"QUINN, Ethan",,,USA
14,"FUCSOVICS, Marton",,,HUN
15,"DZUMHUR, Damir",,,BIH
16,"SHEVCHENKO, Alexander",,Q,KAZ
17,"MACHAC, Tomas",,,CZE
18,"DUCKWORTH, James",,WC,AUS
19,"FEARNLEY, Jacob",,,GBR
20,"HALYS, Quentin",,Q,FRA
21,"ALTMAIER, Daniel",,,GER
22,"MUNAR, Jaume",,,ESP
23,,,BYE,
24,"CERUNDOLO, Francisco",3,,ARG
25,"TSITSIPAS, Stefanos",,,GRE
26,"VUKIC, Aleksandar",,,AUS
27,"VAVASSORI, Andrea",,,ITA
28,"DIALLO, Gabriel",,,CAN
29,"OPELKA, Reilly",,,USA
30,"POPYRIN, Alexei",,,AUS
31,,,BYE,
32,"PAUL, Tommy",2,,USA
