pos,player_name,seed,tag,country
1,"SINNER, Jannik",1,,ITA
2,"ALTMAIER, Daniel",,,GER
3,"MACHAC, Tomas",,,CZE
4,"COBOLLI, Flavio",,,ITA
5,"CERUNDOLO, Francisco",,,ARG
6,"MICHELSEN, Alex",,,USA
7,"TABILO, Alejandro",,,CHI
8,"BUBLIK, Alexander",8,,KAZ
9,"DE MINAUR, Alex",3,,AUS
10,"RODIONOV, Jurij",,WC,AUT
12,"MISOLIC, Filip",,WC,AUT
13,"POPYRIN, Alexei",,,AUS
14,"BERRETTINI, Matteo",,,ITA
15,"NORRIE, Cameron",,,GBR
16,"RUBLEV, Andrey",7,,
17,"MEDVEDEV, Daniil",6,,
18,"BORGES, Nuno",,,POR
19,"DZUMHUR, Damir",,Q,BIH
20,"MOUTET, Corentin",,,FRA
21,"ETCHEVERRY, Tomas …",,,ARG
22,"BUDKOV KJAER, Nicolai",,WC,NOR
23,"TSITSIPAS, Stefanos",,,GRE
24,"MUSETTI, Lorenzo",4,,ITA
25,"KHACHANOV, Karen",5,,
26,"GRIEKSPOOR, Tallon",,,NED
27,"DARDERI, Luciano",,,ITA
28,"NAKASHIMA, Brandon",,,USA
29,"KOVACEVIC, Aleksandar",,Q,USA
30,"ARNALDI, Matteo",,Q,ITA
31,"FEARNLEY, Jacob",,Q,GBR
32,"ZVEREV, Alexander",2,,GER
5,"Khachanov, Karen 10",,,
6,"Medvedev, Daniil 14",,,
7,"Rublev, Andrey 15",,,
8,"Bublik, Alexander 16",,,
