pos,player_name,seed,tag,country
1,"RUNE, Holger",1,,DEN
2,,,BYE,
3,"DE JONG, Jesper",,,NED
4,"FUCSOVICS, Marton",,,HUN
5,"LAJAL, Mark",,Q,EST
6,"ETCHEVERRY, Tomas …",,,ARG
7,"KECMANOVIC, Miomir",,,SRB
8,"MULLER, Alexandre",6,,FRA
9,"HUMBERT, Ugo",4,,FRA
10,,,BYE,
11,"BERRETTINI, Matteo",,,ITA
12,"ZEPPIERI, Giulio",,Q,ITA
13,"FERY, Arthur",,Q,GBR
14,"SONEGO, Lorenzo",,,ITA
15,"KOVACEVIC, Aleksandar",,,USA
16,"UGO CARABELLI, Camilo",,,ARG
17,"GRIEKSPOOR, Tallon",5,,NED
18,"FEARNLEY, Jacob",,,GBR
19,"YMER, Elias",,WC,SWE
20,"YMER, Mikael",,WC,SWE
21,"BORG, Leo",,WC,SWE
22,"OFNER, Sebastian",,PR,AUT
24,"SHAPOVALOV, Denis",3,,CAN
23,,,BYE,
25,"POPYRIN, Alexei",7,,AUS
26,"KORDA, Sebastian",,,USA
27,"MAJCHRZAK, Kamil",,,POL
28,"MISOLIC, Filip",,Q,AUT
29,"NG BUDKOV KJAER, Nicolai",,,NOR
30,"CILIC, Marin",,,CRO
31,,,BYE,
32,"RUUD, Casper",2,,NOR
