pos,player_name,seed,tag,country
1,"MEDVEDEV, Daniil",1,,
2,"FUCSOVICS, Marton",,,HUN
3,"VUKIC, Aleksandar",,WC,AUS
4,"TIAFOE, Frances",,,USA
5,"MAJCHRZAK, Kamil",,LL,POL
6,"ALTMAIER, Daniel",,,GER
7,"OPELKA, Reilly",,,USA
8,"SWEENY, Dane",,Q,AUS
9,"LEHECKA, Jiri",3,,CZE
10,"MACHAC, Tomas",,,CZE
11,"VACHEROT, Valentin",,,MON
12,"KORDA, Sebastian",,,USA
13,"DUCKWORTH, James",,Q,AUS
14,"MICHELSEN, Alex",,,USA
16,"TIEN, Learner",8,,USA
17,"NORRIE, Cameron",7,,GBR
18,"HUMBERT, Ugo",,,FRA
19,"KYRGIOS, Nick",,WC,AUS
20,"KOVACEVIC, Aleksandar",,,USA
21,"HIJIKATA, Rinky",,Q,AUS
22,"WALTON, Adam",,WC,AUS
23,"MPETSHI PERRICARD, …",,,FRA
24,"PAUL, Tommy",4,,USA
25,"SHAPOVALOV, Denis",5,,CAN
26,"COLLIGNON, Raphael",,Q,BEL
27,"DIMITROV, Grigor",,,BUL
28,"CARRENO BUSTA, Pablo",,Q,ESP
29,"POPYRIN, Alexei",,,AUS
30,"HALYS, Quentin",,Q,FRA
31,"NAKASHIMA, Brandon",,,USA
32,"DAVIDOVICH FOKINA, Al…",2,,ESP
5,"Shapovalov, Denis 23",,,
6,"Fonseca, Joao 24",,,
7,"Norrie, Cameron 27",,,
8,"Tien, Learner 28",,,
