pos,player_name,seed,tag,country
1,"DJOKOVIC, Novak",1,,SRB
2,,,BYE,
3,"TABILO, Alejandro",,,CHI
4,"WALTON, Adam",,,AUS
5,"SPIZZIRRI, Eliot",,Q,USA
6,"DJERE, Laslo",,,SRB
7,"SAKELLARIDIS, Stefanos",,WC,GRE
8,"BORGES, Nuno",6,,POR
9,"NAKASHIMA, Brandon",4,,USA
10,,,BYE,
11,"GIRON, Marcos",,,USA
12,"MARTINEZ, Pedro",,,ESP
13,"HANFMANN, Yannick",,Q,GER
14,"IVANOV, Ivan",,WC,BUL
15,"OPELKA, Reilly",,,USA
16,"KOPRIVA, Vit",,LL,CZE
17,"POPYRIN, Alexei",7,,AUS
18,"KORDA, Sebastian",,,USA
19,"DZUMHUR, Damir",,,BIH
20,"FEARNLEY, Jacob",,,GBR
21,"KECMANOVIC, Miomir",,,SRB
22,"MAJCHRZAK, Kamil",,,POL
24,"DARDERI, Luciano",3,,ITA
25,"MULLER, Alexandre",5,,FRA
26,"STRUFF, Jan-Lennard",,Q,GER
27,"MCDONALD, Mackenzie",,Q,USA
28,"ETCHEVERRY, Tomas …",,,ARG
29,"WAWRINKA, Stan",,WC,SUI
32,"MUSETTI, Lorenzo",2,,ITA
5,"Muller, Alexandre 44",,,
6,"Borges, Nuno 46",,,
7,"Popyrin, Alexei 47",,,
8,"Marozsan, Fabian 48",,,
