pos,player_name,seed,tag,country
1,"ALCARAZ, Carlos",1,,ESP
2,"VIRTANEN, Otto",,Q,FIN
3,"MACHAC, Tomas",,,CZE
4,"BAEZ, Sebastian",,,ARG
5,"MARTINEZ, Pedro",,Q,ESP
6,"SONEGO, Lorenzo",,,ITA
7,"NAVONE, Mariano",,,ARG
9,"DE MINAUR, Alex",3,,AUS
10,"OFNER, Sebastian",,Q,AUT
11,"TRUNGELLITI, Marco",,LL,ARG
12,"MEDJEDOVIC, Hamad",,Q,SRB
13,"BORGES, Nuno",,,POR
14,"MANNARINO, Adrian",,,FRA
15,"ETCHEVERRY, Tomas …",,,ARG
16,"DRAPER, Jack",8,,GBR
17,"NORRIE, Cameron",7,,GBR
18,"WAWRINKA, Stan",,WC,SUI
19,"OPELKA, Reilly",,,USA
20,"QUINN, Ethan",,Q,USA
21,"MUNAR, Jaume",,,ESP
22,"JODAR, Rafael",,WC,ESP
23,"UGO CARABELLI, Ca…",,,ARG
25,"FILS, Arthur",9,,FRA
26,"ATMANE, Terence",,,FRA
27,"NAKASHIMA, Brandon",,,USA
28,"CERUNDOLO, Juan M…",,Q,ARG
29,"BUSE, Ignacio",,,PER
30,"MOUTET, Corentin",,,FRA
31,"LANDALUCE, Martin",,WC,ESP
32,"MUSETTI, Lorenzo",2,,ITA
