pos,player_name,seed,tag,country
1,"SINNER, Jannik",,,ITA
2,,,BYE,
3,"BONZI, Benjamin",,,FRA
4,"DROGUET, Titouan",,Q,FRA
5,"MOLLER, Elmer",,,DEN
6,"CINA, Federico",,WC,ITA
7,,,BYE,
8,"DIALLO, Gabriel",32,,CAN
9,"NORRIE, Cameron",,,GBR
10,,,BYE,
11,"MACHAC, Tomas",,,CZE
12,"COMESANA, Francisco",,,ARG
13,"BAUTISTA AGUT, Roberto",,,ESP
14,"TIRANTE, Thiago Agustin",,,ARG
15,,,BYE,
16,"PAUL, Tommy",15,,USA
18,,,BYE,
19,"ZHANG, Zhizhen",,,CHN
20,"KOPRIVA, Vit",,,CZE
21,"SONEGO, Lorenzo",,,ITA
22,"LAJOVIC, Dusan",,Q,SRB
23,,,BYE,
24,"RINDERKNECH, Arthur",22,,FRA
25,"FONSECA, Joao",,,BRA
26,,,BYE,
27,"BERGS, Zizou",,,BEL
28,"CILIC, Marin",,,CRO
29,"JODAR, Rafael",,,ESP
30,"DE JONG, Jesper",,,NED
31,,,BYE,
32,"DE MINAUR, Alex",5,,AUS
33,"SHELTON, Ben",,,USA
34,,,BYE,
35,"PRIZMIC, Dino",,,CRO
36,"BERRETTINI, Matteo",,,ITA
37,"BASILASHVILI, Nikoloz",,,GEO
38,"OFNER, Sebastian",,,AUT
39,,,BYE,
41,"FILS, Arthur",,,FRA
42,,,BYE,
43,"BUSE, Ignacio",,,PER
44,"MANNARINO, Adrian",,,FRA
45,"BROOKSBY, Jenson",,,USA
46,"NAVA, Emilio",,,USA
47,,,BYE,
48,"VACHEROT, Valentin",14,,MON
49,"LEHECKA, Jiri",,,CZE
50,,,BYE,
51,"TABILO, Alejandro",,,CHI
52,"ROYER, Valentin",,,FRA
53,"MULLER, Alexandre",,,FRA
54,"STRUFF, Jan-Lennard",,,GER
55,,,BYE,
56,"MICHELSEN, Alex",33,,USA
57,"GRIEKSPOOR, Tallon",,,NED
58,,,BYE,
59,"DZUMHUR, Damir",,,BIH
60,"BELLUCCI, Mattia",,,ITA
61,"FARIA, Jaime",,,POR
62,"HURKACZ, Hubert",,,POL
63,,,BYE,
64,"MUSETTI, Lorenzo",6,,ITA
65,"BUBLIK, Alexander",,,KAZ
66,,,BYE,
67,"KYPSON, Patrick",,LL,USA
68,"TSITSIPAS, Stefanos",,,GRE
69,"TRUNGELLITI, Marco",,LL,ARG
70,"MERIDA, Daniel",,Q,ESP
71,,,BYE,
72,"MOUTET, Corentin",26,,FRA
73,"DAVIDOVICH FOKINA, Al…",,,ESP
74,,,BYE,
75,"CARRENO BUSTA, Pablo",,WC,ESP
76,"FUCSOVICS, Marton",,,HUN
77,"MUNAR, Jaume",,,ESP
78,"SHEVCHENKO, Alexander",,,KAZ
79,,,BYE,
80,"RUUD, Casper",12,,NOR
81,"CERUNDOLO, Francisco",,,ARG
82,,,BYE,
83,"HANFMANN, Yannick",,,GER
84,"GIRON, Marcos",,,USA
85,"ALTMAIER, Daniel",,,GER
86,"CERUNDOLO, Juan Manuel",,,ARG
87,,,BYE,
88,"DARDERI, Luciano",18,,ITA
89,"NAKASHIMA, Brandon",,,USA
90,,,BYE,
91,"GARIN, Cristian",,LL,CHI
92,"BLOCKX, Alexander",,,BEL
93,"GAUBAS, Vilius",,Q,LTU
94,"BAEZ, Sebastian",,,ARG
95,,,BYE,
96,"AUGER-ALIASSIME, Felix",3,,CAN
98,,,BYE,
99,"MAROZSAN, Fabian",,,HUN
100,"QUINN, Ethan",,,USA
102,"OPELKA, Reilly",,,USA
103,,,BYE,
104,"SHAPOVALOV, Denis",31,,CAN
105,"TIEN, Learner",,,USA
106,,,BYE,
108,"DIMITROV, Grigor",,,BUL
109,"UGO CARABELLI, Camilo",,,ARG
111,,,BYE,
112,"COBOLLI, Flavio",10,,ITA
114,,,BYE,
116,"WALTON, Adam",,,AUS
117,"POPYRIN, Alexei",,,AUS
119,,,BYE,
120,"MENSIK, Jakub",23,,CZE
121,"HUMBERT, Ugo",,,FRA
122,,,BYE,
123,"ATMANE, Terence",,,FRA
124,"KECMANOVIC, Miomir",,,SRB
125,"BORGES, Nuno",,,POR
126,"NAVONE, Mariano",,,ARG
127,,,BYE,
128,"ZVEREV, Alexander",2,,GER
