pos,player_name,seed,tag,country
1,"FRITZ, Taylor",,,USA
2,,,BYE,
3,"POPYRIN, Alexei",,,AUS
4,"TABUR, Clement",,Q,FRA
5,"MANNARINO, Adrian",,,FRA
6,"COLLIGNON, Raphael",,,BEL
7,"BROOKSBY, Jenson",,,USA
8,"RUUD, Casper",6,,NOR
9,"NORRIE, Cameron",,,GBR
10,,,BYE,
11,"TRUNGELLITI, Marco",,,ARG
12,"NAVONE, Mariano",,,ARG
13,"ROYER, Valentin",,,FRA
14,"COMESANA, Francisco",,Q,ARG
15,"BASAVAREDDY, Nishesh",,,USA
16,"MUNAR, Jaume",8,,ESP
17,"BRANCACCIO, Raul",,,ITA
18,"WAWRINKA, Stan",,WC,SUI
19,"BAEZ, Sebastian",,,ARG
20,"MICHELSEN, Alex",,,USA
21,"TSITSIPAS, Stefanos",,,GRE
22,"MPETSHI PERRICARD, …",,,FRA
23,,,BYE,
24,"TIEN, Learner",4,,USA
25,"RINDERKNECH, Arthur",,,FRA
26,"TIRANTE, Thiago Agustin",,,ARG
27,"DJERE, Laslo",,,SRB
28,"DUCKWORTH, James",,LL,AUS
29,"SONEGO, Lorenzo",,,ITA
30,"BUTVILAS, Edas",,Q,LTU
31,,,BYE,
32,"BUBLIK, Alexander",2,,KAZ
