pos,player_name,seed,tag,country
1,"ALCARAZ, Carlos",,,ESP
2,,,BYE,
3,"MAROZSAN, Fabian",,,HUN
4,"FONSECA, Joao",,,BRA
5,"MPETSHI PERRICARD, G…",,,FRA
6,"UGO CARABELLI, Camilo",,,ARG
7,,,BYE,
8,"KORDA, Sebastian",32,,USA
9,"DARDERI, Luciano",,,ITA
10,,,BYE,
11,"GIRON, Marcos",,,USA
12,"LANDALUCE, Martin",,Q,ESP
13,"DUCKWORTH, James",,,AUS
14,"BAUTISTA AGUT, Roberto",,,ESP
15,,,BYE,
17,"RUUD, Casper",,,NOR
18,,,BYE,
19,"QUINN, Ethan",,,USA
20,"HURKACZ, Hubert",,,POL
21,"KOUAME, Moise",,,FRA
22,"SVAJDA, Zachary",,Q,USA
23,,,BYE,
24,"LEHECKA, Jiri",21,,CZE
25,"DRAPER, Jack",,,GBR
26,,,BYE,
27,"OPELKA, Reilly",,,USA
28,"BORGES, Nuno",,,POR
29,"SHAPOVALOV, Denis",,,CAN
30,"VAN DE ZANDSCHULP, B…",,,NED
31,,,BYE,
32,"FRITZ, Taylor",6,,USA
33,"VUKIC, Aleksandar",,,AUS
34,,,BYE,
35,"JODAR, Rafael",,,ESP
36,"HANFMANN, Yannick",,Q,GER
37,"BERGS, Zizou",,,BEL
38,"BROOKSBY, Jenson",,,USA
39,,,BYE,
40,"ETCHEVERRY, Tomas Ma…",29,,ARG
41,"PAUL, Tommy",,,USA
42,,,BYE,
43,"ZHANG, Zhizhen",,,CHN
44,"MANNARINO, Adrian",,,FRA
45,"COLLIGNON, Raphael",,,BEL
46,"DIMITROV, Grigor",,,BUL
47,,,BYE,
48,"COBOLLI, Flavio",13,,ITA
49,"BUBLIK, Alexander",,,KAZ
50,,,BYE,
51,"MULLER, Alexandre",,,FRA
52,"BERRETTINI, Matteo",,,ITA
53,"BASILASHVILI, Nikoloz",,,GEO
54,"NAVONE, Mariano",,,ARG
55,,,BYE,
56,"VACHEROT, Valentin",24,,MON
57,"FILS, Arthur",,,FRA
58,,,BYE,
59,"BLANCH, Darwin",,,USA
60,"STRUFF, Jan-Lennard",,,GER
61,"TSITSIPAS, Stefanos",,,GRE
62,"FERY, Arthur",,Q,GBR
63,,,BYE,
64,"DE MINAUR, Alex",5,,AUS
65,"SHELTON, Ben",,,USA
66,,,BYE,
67,"ARNALDI, Matteo",,,ITA
68,"SHEVCHENKO, Alexander",,,KAZ
69,"DIALLO, Gabriel",,,CAN
70,"WU, Yibing",,WC,CHN
71,,,BYE,
72,"HUMBERT, Ugo",31,,FRA
73,"CERUNDOLO, Francisco",,,ARG
74,,,BYE,
75,"ROYER, Valentin",,,FRA
76,"TIRANTE, Thiago Agustin",,LL,ARG
77,"KOVACEVIC, Aleksandar",,,USA
78,"SAKAMOTO, Rei",,WC,JPN
79,,,BYE,
81,"DAVIDOVICH FOKINA, Al…",,,ESP
82,,,BYE,
83,"HALYS, Quentin",,,FRA
84,"DRAXL, Liam",,Q,CAN
85,"MAJCHRZAK, Kamil",,,POL
86,"KECMANOVIC, Miomir",,,SRB
87,,,BYE,
88,"TIEN, Learner",20,,USA
89,"NAKASHIMA, Brandon",,,USA
90,,,BYE,
91,"CILIC, Marin",,,CRO
92,"POPYRIN, Alexei",,,AUS
93,"DAMM, Martin",,,USA
94,"FEARNLEY, Jacob",,,GBR
95,,,BYE,
96,"ZVEREV, Alexander",3,,GER
97,"AUGER-ALIASSIME, Felix",,,CAN
98,,,BYE,
99,"O'CONNELL, Christopher",,Q,AUS
100,"FUCSOVICS, Marton",,,HUN
101,"ATMANE, Terence",,,FRA
102,"ALTMAIER, Daniel",,,GER
103,,,BYE,
104,"RINDERKNECH, Arthur",26,,FRA
105,"TIAFOE, Frances",,,USA
106,,,BYE,
107,"CAZAUX, Arthur",,,FRA
110,"BAEZ, Sebastian",,,ARG
111,,,BYE,
112,"MENSIK, Jakub",12,,CZE
114,,,BYE,
115,"TABILO, Alejandro",,,CHI
116,"COMESANA, Francisco",,,ARG
117,"MICHELSEN, Alex",,,USA
119,,,BYE,
120,"NORRIE, Cameron",23,,GBR
121,"MOUTET, Corentin",,,FRA
122,,,BYE,
123,"NAVA, Emilio",,,USA
124,"MACHAC, Tomas",,,CZE
126,"DZUMHUR, Damir",,,BIH
127,,,BYE,
128,"SINNER, Jannik",2,,ITA
