pos,player_name,seed,tag,country
1,"DE MINAUR, Alex",1,,AUS
2,"FILS, Arthur",,,FRA
3,"VUKIC, Aleksandar",,,AUS
4,"WAWRINKA, Stan",,WC,SUI
5,"PAVLOVIC, Luka",,Q,FRA
6,"VAN DE ZANDSCHULP, …",,,NED
7,"TSITSIPAS, Stefanos",,,GRE
8,"RINDERKNECH, Arthur",8,,FRA
9,"MEDVEDEV, Daniil",5,,RUS
10,"HUMBERT, Ugo",,,FRA
11,"DEN OUDEN, Guy",,WC,NED
12,"FUCSOVICS, Marton",,,HUN
13,"ROYER, Valentin",,,FRA
14,"O'CONNELL, Christopher",,Q,AUS
15,"BAUTISTA AGUT, Roberto",,,ESP
16,"NORRIE, Cameron",6,,GBR
18,"DE JONG, Jesper",,,NED
19,"BUDKOV KJAER, Nicolai",,WC,NOR
20,"MUNAR, Jaume",,,ESP
21,"GRENIER, Hugo",,Q,FRA
22,"STRUFF, Jan-Lennard",,,GER
23,"HURKACZ, Hubert",,,POL
24,"BUBLIK, Alexander",3,,KAZ
25,"GRIEKSPOOR, Tallon",7,,NED
26,"MPETSHI PERRICARD, …",,,FRA
27,"HALYS, Quentin",,,FRA
28,"ROTTGERING, Mees",,Q,NED
29,"BERGS, Zizou",,,BEL
30,"MAROZSAN, Fabian",,,HUN
31,"POPYRIN, Alexei",,,AUS
32,"AUGER ALIASSIME, Felix",2,,CAN
