pos,player_name,seed,tag,country
1,"SHELTON, Ben",,,USA
2,,,BYE,
3,"PINNINGTON JONES, J…",,,GBR
4,"ZHANG, Zhizhen",,WC,CHN
5,"SMITH, Colton",,,USA
6,"TIRANTE, Thiago Agustin",,,ARG
7,"MCDONALD, Mackenzie",,,USA
8,"BROOKSBY, Jenson",8,,USA
9,"TIEN, Learner",,,USA
10,,,BYE,
11,"BASAVAREDDY, Nishesh",,WC,USA
12,"DRAXL, Liam",,Q,CAN
13,"BURRUCHAGA, Roman …",,,ARG
14,"WALTON, Adam",,,AUS
15,"DAMM, Martin",,,USA
16,"NAKASHIMA, Brandon",5,,USA
17,"ETCHEVERRY, Tomas …",6,,ARG
18,"GOMEZ, Federico Agustin",,Q,ARG
19,"BOLT, Alex",,,AUS
20,"WU, Yibing",,,CHN
21,"VALLEJO, Adolfo Daniel",,,PAR
22,"SVAJDA, Zachary",,,USA
23,,,BYE,
24,"PAUL, Tommy",4,,USA
25,"MICHELSEN, Alex",7,,USA
26,"WONG, Coleman",,,HKG
27,"POPYRIN, Alexei",,,AUS
28,"KYPSON, Patrick",,,USA
29,"KOVACEVIC, Aleksandar",,,USA
30,"HIJIKATA, Rinky",,,AUS
31,,,BYE,
32,"TIAFOE, Frances",2,,USA
