pos,player_name,seed,tag,country
1,"SINNER, Jannik",1,,ITA
2,"KECMANOVIC, Miomir",,,SRB
3,"BORGES, Nuno",,,POR
4,"BOYER, Tristan",,Q,USA
5,"VUKIC, Aleksandar",,,AUS
6,"BROOKSBY, Jenson",,,USA
7,"NAVA, Emilio",,,USA
8,"BUSE, Ignacio",31,,PER
9,"JODAR, Rafael",23,,ESP
10,"GILL, Felix",,WC,GBR
11,"SHAPOVALOV, Denis",,,CAN
12,"CARRENO BUSTA, Pablo",,,ESP
13,"MOCHIZUKI, Shintaro",,Q,JPN
14,"BASING, Max",,Q,GBR
15,"QUINN, Ethan",,,USA
16,"DARDERI, Luciano",14,,ITA
17,"RUUD, Casper",11,,NOR
18,"HURKACZ, Hubert",,,POL
19,"MEDJEDOVIC, Hamad",,,SRB
20,"OFNER, Sebastian",,,AUT
21,"KWON, Soonwoo",,Q,KOR
22,"LANDALUCE, Martin",,,ESP
23,"MULLER, Alexandre",,,FRA
24,"PAUL, Tommy",21,,USA
25,"NAKASHIMA, Brandon",28,,USA
26,"PINNINGTON JONES, Jack",,WC,GBR
27,"STRUFF, Jan-Lennard",,,GER
28,"BAEZ, Sebastian",,,ARG
29,"UGO CARABELLI, Camilo",,,ARG
30,"MERIDA, Daniel",,,ESP
31,"CILIC, Marin",,,CRO
32,"MEDVEDEV, Daniil",8,,
33,"AUGER-ALIASSIME, Felix",3,,CAN
34,"SHEVCHENKO, Aleksandr",,,KAZ
35,"WALTON, Adam",,,AUS
36,"PRIZMIC, Dino",,,CRO
37,"VALLEJO, Adolfo Daniel",,,PAR
38,"MEJIA, Nicolas",,Q,COL
39,"ZHENG, Michael",,Q,USA
40,"NORRIE, Cameron",26,,GBR
41,"DAVIDOVICH FOKINA, Alejandro",22,,ESP
42,"CERUNDOLO, Juan Manuel",,,ARG
43,"TIRANTE, Thiago Agustin",,,ARG
44,"MAROZSAN, Fabian",,,HUN
45,"VAN ASSCHE, Luca",,,FRA
46,"FUCSOVICS, Marton",,,HUN
47,"SVRCINA, Dalibor",,,CZE
48,"TIEN, Learner",16,,USA
49,"RUBLEV, Andrey",12,,
50,"SAFIULLIN, Roman",,Q,
51,"KOVACEVIC, Aleksandar",,,USA
52,"VAN DE ZANDSCHULP, Botic",,,NED
53,"DE JONG, Jesper",,,NED
54,"HIJIKATA, Rinky",,,AUS
55,"BAUTISTA AGUT, Roberto",,,ESP
56,"FONSECA, Joao",24,,BRA
57,"RINDERKNECH, Arthur",25,,FRA
58,"TARVET, Oliver",,Q,GBR
59,"TRUNGELLITI, Marco",,,ARG
60,"DAMM, Martin",,,USA
61,"GASTON, Hugo",,Q,FRA
62,"TSITSIPAS, Stefanos",,,GRE
63,"WU, Yibing",,,CHN
64,"DJOKOVIC, Novak",7,,SRB
65,"DE MINAUR, Alex",5,,AUS
66,"BURRUCHAGA, Roman Andres",,,ARG
67,"MANNARINO, Adrian",,,FRA
68,"DROGUET, Titouan",,,FRA
69,"BELLUCCI, Mattia",,,ITA
70,"SVAJDA, Zachary",,,USA
71,"MAJCHRZAK, Kamil",,,POL
72,"TABILO, Alejandro",30,,CHI
73,"KHACHANOV, Karen",19,,
74,"HARRIS, Billy",,Q,GBR
75,"HANFMANN, Yannick",,,GER
76,"MPETSHI PERRICARD, Giovanni",,,FRA
77,"GRIEKSPOOR, Tallon",,,NED
78,"DUCKWORTH, James",,,AUS
79,"NAVONE, Mariano",,,ARG
80,"COBOLLI, Flavio",9,,ITA
81,"MENSIK, Jakub",15,,CZE
82,"SAMUEL, Toby",,WC,GBR
83,"SWEENY, Dane",,Q,AUS
84,"DIMITROV, Grigor",,WC,BUL
85,"WAWRINKA, Stan",,WC,SUI
86,"BERRETTINI, Matteo",,,ITA
87,"COLLIGNON, Raphael",,,BEL
88,"FILS, Arthur",20,,FRA
89,"HUMBERT, Ugo",27,,FRA
90,"BERGS, Zizou",,,BEL
91,"SHIMABUKURO, Sho",,,JPN
92,"FARIA, Jaime",,Q,POR
93,"DZUMHUR, Damir",,,BIH
94,"FERY, Arthur",,WC,GBR
95,"VIRTANEN, Otto",,Q,FIN
96,"SHELTON, Ben",4,,USA
97,"FRITZ, Taylor",6,,USA
98,"DRAPER, Jack",,,GBR
99,"KYPSON, Patrick",,,USA
100,"MCDONALD, Mackenzie",,Q,USA
101,"BONZI, Benjamin",,,FRA
102,"DIALLO, Gabriel",,,CAN
103,"SONEGO, Lorenzo",,,ITA
104,"ETCHEVERRY, Tomas Martin",29,,ARG
105,"TIAFOE, Frances",17,,USA
106,"ATMANE, Terence",,,FRA
107,"KOPRIVA, Vit",,,CZE
108,"CHOINSKI, Jan",,,GBR
109,"JACQUET, Kyrian",,Q,FRA
110,"GAUBAS, Vilius",,Q,LTU
111,"KOKKINAKIS, Thanasi",,,AUS
112,"BUBLIK, Alexander",10,,KAZ
113,"LEHECKA, Jiri",13,,CZE
114,"POPYRIN, Alexei",,,AUS
115,"MOLCAN, Alex",,,SVK
116,"ALTMAIER, Daniel",,,GER
117,"MICHELSEN, Alex",,,USA
118,"FEARNLEY, Jacob",,WC,GBR
119,"MUNAR, Jaume",,,ESP
120,"CERUNDOLO, Francisco",18,,ARG
121,"ARNALDI, Matteo",32,,ITA
122,"HALYS, Quentin",,,FRA
123,"MOUTET, Corentin",,,FRA
124,"GIRON, Marcos",,,USA
125,"ROYER, Valentin",,,FRA
126,"WENDELKEN, Harry",,WC,GBR
127,"BLOCKX, Alexander",,,BEL
128,"ZVEREV, Alexander",2,,GER
