pos,player_name,seed,tag,country
1,"AUGER-ALIASSIME, Felix",,,CAN
2,"KOPRIVA, Vit",,,CZE
3,"KOVACEVIC, Aleksandar",,,USA
4,"GEA, Arthur",,Q,FRA
5,"MAJCHRZAK, Kamil",,,POL
6,"UGO CARABELLI, Camilo",,,ARG
7,"DEDURA, Diego",,,GER
8,"TIAFOE, Frances",8,,USA
9,"COBOLLI, Flavio",,,ITA
10,"BUSE, Ignacio",,Q,PER
11,"MENSIK, Jakub",,,CZE
12,"STRUFF, Jan-Lennard",,WC,GER
13,"ENGEL, Justin",,,GER
14,"HUMBERT, Ugo",,,FRA
15,"GASTON, Hugo",,,FRA
17,"DARDERI, Luciano",,,ITA
18,"BURRUCHAGA, Roman …",,,ARG
19,"HANFMANN, Yannick",,,GER
20,"SCHOENHAUS, Max",,Q,GER
21,"DAVIDOVICH FOKINA, A…",,,ESP
22,"MOUTET, Corentin",,,FRA
23,"CERUNDOLO, Francisco",,,ARG
24,"DE MINAUR, Alex",3,,AUS
25,"PAUL, Tommy",,,USA
26,"QUINN, Ethan",,,USA
27,"ATMANE, Terence",,,FRA
28,"ETCHEVERRY, Tomas M…",,,ARG
29,"ALTMAIER, Daniel",,,GER
30,"HIJIKATA, Rinky",,Q,AUS
31,"GIRON, Marcos",,,USA
32,"SHELTON, Ben",2,,USA
