pos,player_name,seed,tag,country
1,"CERUNDOLO, Francisco",1,,ARG
2,"NAVONE, Mariano",,,ARG
3,"GARIN, Cristian",,,CHI
4,"TIRANTE, Thiago Agustin",,,ARG
5,"TABILO, Alejandro",,,CHI
6,"NAVA, Emilio",,,USA
7,"PRIZMIC, Dino",,Q,CRO
8,"MULLER, Alexandre",6,,FRA
9,"FONSECA, Joao",3,,BRA
10,"MONTEIRO, Thiago",,Q,BRA
11,"MARCONDES, Igor",,Q,BRA
12,"BUSE, Ignacio",,,PER
13,"BARRIOS VERA, Tomas",,LL,CHI
14,"BERRETTINI, Matteo",,,ITA
15,"LAJOVIC, Dusan",,LL,SRB
16,"ALTMAIER, Daniel",7,,GER
17,"ETCHEVERRY, Tomas …",8,,ARG
18,"COMESANA, Francisco",,,ARG
19,"MIGUEL, Luis ""Guto""",,WC,BRA
20,"GAUBAS, Vilius",,Q,LTU
21,"DZUMHUR, Damir",,,BIH
22,"MARTINEZ, Pedro",,,ESP
23,"TABERNER, Carlos",,,ESP
24,"BAEZ, Sebastian",4,,ARG
25,"UGO CARABELLI, Cam…",5,,ARG
26,"BURRUCHAGA, Roman …",,,ARG
27,"HEIDE, Gustavo",,WC,BRA
28,"KOPRIVA, Vit",,,CZE
29,"HANFMANN, Yannick",,,GER
30,"REIS DA SILVA, Joao Lu…",,WC,BRA
31,"CERUNDOLO, Juan Ma…",,,ARG
32,"DARDERI, Luciano",2,,ITA
