pos,player_name,seed,tag,country
1,"ZVEREV, Alexander",1,,GER
2,"KOPRIVA, Vit",,,CZE
3,"FONSECA, Joao",,,BRA
4,"HANFMANN, Yannick",,,GER
5,"POPYRIN, Alexei",,,AUS
6,"COLLIGNON, Raphael",,Q,BEL
7,"BELLUCCI, Mattia",,Q,ITA
8,"BUBLIK, Alexander",7,,KAZ
9,"SHELTON, Ben",3,,USA
10,"KYRGIOS, Nick",,WC,AUS
12,"QUINN, Ethan",,,USA
13,"MAROZSAN, Fabian",,,HUN
14,"KECMANOVIC, Miomir",,,SRB
15,"BERGS, Zizou",,,BEL
16,"FRITZ, Taylor",5,,USA
18,"HURKACZ, Hubert",,PR,POL
19,"BASILASHVILI, Nikoloz",,Q,GEO
20,"ALTMAIER, Daniel",,WC,GER
21,"ATMANE, Terence",,,FRA
22,"LANDALUCE, Martin",,Q,ESP
23,"ETCHEVERRY, Tomas …",,,ARG
25,"COBOLLI, Flavio",6,,ITA
26,"TIAFOE, Frances",,,USA
27,"GRIEKSPOOR, Tallon",,,NED
28,"SHIMABUKURO, Sho",,SE,JPN
29,"SCHOENHAUS, Max",,WC,GER
30,"TIEN, Learner",,,USA
31,"BORGES, Nuno",,,POR
32,"AUGER-ALIASSIME, F…",2,,CAN
