pos,player_name,seed,tag,country
1,"SHELTON, Ben",,,USA
2,,,BYE,
3,"BAUTISTA AGUT, Roberto",,,ESP
4,"GIRON, Marcos",,,USA
5,"HALYS, Quentin",,,FRA
6,"SHIMABUKURO, Sho",,Q,JPN
7,"KYRGIOS, Nick",,WC,AUS
8,"MOUTET, Corentin",8,,FRA
9,"LEHECKA, Jiri",,,CZE
10,,,BYE,
11,"DEDURA, Diego",,WC,GER
12,"DUCKWORTH, James",,,AUS
13,"GENTZSCH, Tom",,WC,GER
14,"HIJIKATA, Rinky",,,AUS
15,"ALTMAIER, Daniel",,,GER
16,"TIAFOE, Frances",6,,USA
17,"PAUL, Tommy",5,,USA
18,"MPETSHI PERRICARD, …",,,FRA
19,"ONCLIN, Gauthier",,Q,BEL
20,"MAROZSAN, Fabian",,,HUN
21,"STRUFF, Jan-Lennard",,,GER
22,"GALARNEAU, Alexis",,Q,CAN
23,,,BYE,
24,"BUBLIK, Alexander",3,,KAZ
25,"DAVIDOVICH FOKINA, Al…",7,,ESP
26,"BELLUCCI, Mattia",,,ITA
27,"HANFMANN, Yannick",,,GER
28,"KOVACEVIC, Aleksandar",,,USA
29,"HERBERT, Pierre-Hugues",,Q,FRA
30,"LANDALUCE, Martin",,,ESP
31,,,BYE,
32,"FRITZ, Taylor",2,,USA
