pos,player_name,seed,tag,country
1,"AUGER-ALIASSIME, F…",,,CAN
2,,,BYE,
3,"HURKACZ, Hubert",,,POL
4,"FUCSOVICS, Marton",,,HUN
5,"VIRTANEN, Otto",,WC,FIN
6,"MAJCHRZAK, Kamil",,,POL
7,"MCCABE, James",,Q,AUS
8,"BERGS, Zizou",8,,BEL
10,,,BYE,
11,"BOOGAARD, Thijs",,WC,NED
12,"WU, Yibing",,,CHN
13,"BORGES, Nuno",,,POR
14,"ATMANE, Terence",,,FRA
15,"CILIC, Marin",,,CRO
16,"SHAPOVALOV, Denis",7,,CAN
17,"GRIEKSPOOR, Tallon",6,,NED
18,"VAN DE, ZANDSCHULP…",,,NED
19,"ZHANG, Zhizhen",,PR,CHN
20,"BROOKSBY, Jenson",,,USA
21,"DIALLO, Gabriel",,,CAN
22,"MANNARINO, Adrian",,,FRA
23,,,BYE,
24,"RINDERKNECH, Arthur",4,,FRA
25,"HUMBERT, Ugo",5,,FRA
26,"YMER, Elias",,Q,SWE
27,"BONZI, Benjamin",,Q,FRA
28,"ROTTGERING, Mees",,WC,NED
29,"MUNAR, Jaume",,,ESP
30,"DAMM, Martin",,Q,USA
31,,,BYE,
32,"DE MINAUR, Alex",2,,AUS
