pos,player_name,seed,tag,country
1,"DE MINAUR, Alex",1,,AUS
2,"DIALLO, Gabriel",,,CAN
3,"PINNINGTON JONES, Jack",,WC,GBR
4,"SHAPOVALOV, Denis",,,CAN
5,"NAKASHIMA, Brandon",,,USA
6,"FUCSOVICS, Marton",,,HUN
7,"BUSE, Ignacio",,,PER
8,"JODAR, Rafael",5,,ESP
9,"MENSIK, Jakub",3,,CZE
10,"MANNARINO, Adrian",,,FRA
11,"FERY, Arthur",,WC,GBR
12,"SAMUEL, Toby",,WC,GBR
13,"BROOKSBY, Jenson",,,USA
14,"DAMM, Martin",,Q,USA
15,"KOVACEVIC, Aleksandar",,LL,USA
16,"CERUNDOLO, Francisco",7,,ARG
17,"PAUL, Tommy",8,,USA
18,"SVAJDA, Zachary",,LL,USA
19,"VAN DE ZANDSCHULP, B…",,,NED
20,"WENDELKEN, Harry",,Q,GBR
21,"MPETSHI PERRICARD, …",,Q,FRA
22,"MOUTET, Corentin",,,FRA
23,"NORRIE, Cameron",,,GBR
24,"DAVIDOVICH FOKINA, Al…",4,,ESP
25,"RINDERKNECH, Arthur",6,,FRA
26,"MEDJEDOVIC, Hamad",,,SRB
27,"HUMBERT, Ugo",,,FRA
28,"CILIC, Marin",,,CRO
29,"HIJIKATA, Rinky",,Q,AUS
30,"TABILO, Alejandro",,,CHI
31,"MAJCHRZAK, Kamil",,SE,POL
32,"LEHECKA, Jiri",2,,CZE
