pos,player_name,seed,tag,country
1,"MUSETTI, Lorenzo",1,,ITA
2,,,BYE,
3,"ETCHEVERRY, Tomas …",,,ARG
4,"ROYER, Valentin",,,FRA
5,"WONG, Coleman",,WC,HKG
6,"NAVONE, Mariano",,,ARG
7,"DE JONG, Jesper",,,NED
8,"DIALLO, Gabriel",6,,CAN
9,"RUBLEV, Andrey A. Rublev3",3,,
10,,,BYE,
11,"WU, Yibing",,WC,CHN
12,"MAROZSAN, Fabian",,,HUN
13,"CILIC, Marin",,,CRO
14,"MANNARINO, Adrian",,,FRA
15,"DZUMHUR, Damir",,,BIH
16,"BORGES, Nuno",8,,POR
17,"MULLER, Alexandre",7,,FRA
18,"KECMANOVIC, Miomir",,,SRB
19,"DJERE, Laslo",,Q,SRB
20,"GIRON, Marcos",,,USA
21,"TABILO, Alejandro",,Q,CHI
22,"MMOH, Michael",,Q,USA
24,"KHACHANOV, Karen",4,,
25,"SONEGO, Lorenzo",5,,ITA
26,"NG SAKAMOTO, Rei",,,JPN
27,"SHANG, Juncheng",,WC,CHN
28,"COMESANA, Francisco",,,ARG
29,"STRUFF, Jan-Lennard",,Q,GER
32,"BUBLIK, Alexander",2,,KAZ
5,"Sonego, Lorenzo 40",,,
6,"Diallo, Gabriel 41",,,
7,"Muller, Alexandre 43",,,
8,"Borges, Nuno 47",,,
