pos,player_name,seed,tag,country
1,"ZVEREV, Alexander",1,,GER
2,"KECMANOVIC, Miomir",,,SRB
3,"DIALLO, Gabriel",,,CAN
4,"SACHKO, Vitaliy",,Q,UKR
5,"VAN DE, ZANDSCHULP…",,,NED
6,"HUESLER, Marc-Andrea",,Q,SUI
7,"STRUFF, Jan-Lennard",,WC,GER
8,"CERUNDOLO, Francis…",5,,ARG
9,"COBOLLI, Flavio",4,,ITA
10,"DEDURA, Diego",,Q,GER
11,"BERGS, Zizou",,,BEL
12,"TOPO, Marko",,LL,GER
13,"ENGEL, Justin",,WC,GER
14,"KOPRIVA, Vit",,,CZE
15,"ZHANG, Zhizhen",,PR,CHN
16,"DARDERI, Luciano",6,,ITA
17,"GRIEKSPOOR, Tallon",8,,NED
18,"SHAPOVALOV, Denis",,,CAN
19,"MAROZSAN, Fabian",,,HUN
20,"TSITSIPAS, Stefanos",,,GRE
21,"CILIC, Marin",,,CRO
22,"ALTMAIER, Daniel",,,GER
23,"MOLCAN, Alex",,Q,SVK
24,"BUBLIK, Alexander",3,,KAZ
25,"RINDERKNECH, Arthur",7,,FRA
26,"MICHELSEN, Alex",,,USA
27,"TABILO, Alejandro",,,CHI
28,"FONSECA, Joao",,,BRA
29,"BLOCKX, Alexander",,WC,BEL
30,"HANFMANN, Yannick",,,GER
31,"NAVA, Emilio",,LL,USA
32,"SHELTON, Ben",2,,USA
