pos,player_name,seed,tag,country
1,"ZVEREV, Alexander",,,GER
2,"MOUTET, Corentin",,,FRA
3,"SCHOOLKATE, Tristan",,,AUS
4,"KECMANOVIC, Miomir",,,SRB
5,"ATMANE, Terence",,,FRA
6,"DIMITROV, Grigor",,,BUL
7,"JODAR, Rafael",,,ESP
8,"NORRIE, Cameron",7,,GBR
9,"RUUD, Casper",,,NOR
10,"WU, Yibing",,,CHN
11,"MANNARINO, Adrian",,,FRA
12,"SHIMABUKURO, Sho",,Q,JPN
13,"DUCKWORTH, James",,,AUS
14,"SVRCINA, Dalibor",,,CZE
15,"PACHECO MENDEZ, Rod…",,,MEX
16,"COBOLLI, Flavio",,,ITA
17,"TIAFOE, Frances",,,USA
18,"BORGES, Nuno",,,POR
19,"WALTON, Adam",,,AUS
20,"KOVACEVIC, Aleksandar",,,USA
21,"HIJIKATA, Rinky",,,AUS
22,"BELLUCCI, Mattia",,,ITA
23,"ALTMAIER, Daniel",,,GER
24,"DAVIDOVICH FOKINA, Al…",4,,ESP
25,"VACHEROT, Valentin",,,MON
26,"WONG, Coleman",,LL,HKG
27,"DZUMHUR, Damir",,,BIH
28,"MONFILS, Gael",,WC,FRA
29,"NAKASHIMA, Brandon",,,USA
30,"YMER, Elias",,Q,SWE
31,"KYPSON, Patrick",,,USA
32,"DE MINAUR, Alex",2,,AUS
