pos,player_name,seed,tag,country
1,"CERUNDOLO, Francisco",,,ARG
2,,,BYE,
3,"MOLLER, Elmer",,,DEN
4,"BURRUCHAGA, Roman …",,,ARG
5,"PASSARO, Francesco",,,ITA
6,"VALLEJO, Adolfo Daniel",,Q,PAR
7,"NAVA, Emilio",,,USA
8,"BERRETTINI, Matteo",6,,ITA
10,,,BYE,
11,"LAJOVIC, Dusan",,,SRB
12,"HANFMANN, Yannick",,,GER
13,"JARRY, Nicolas",,,CHI
14,"PRIZMIC, Dino",,Q,CRO
15,"SOTO, Matias",,,CHI
16,"GAUBAS, Vilius",,LL,LTU
17,"TABILO, Alejandro",,,CHI
18,"BARRIOS VERA, Tomas",,,CHI
19,"TIRANTE, Thiago Agustin",,,ARG
20,"BUSE, Ignacio",,,PER
21,"CERUNDOLO, Juan Ma…",,,ARG
22,"GARIN, Cristian",,,CHI
23,,,BYE,
24,"BAEZ, Sebastian",3,,ARG
25,"COMESANA, Francisco",,,ARG
26,"MARTINEZ, Pedro",,,ESP
27,"PELLEGRINO, Andrea",,,ITA
28,"BARRENA, Alex",,Q,ARG
29,"NAVONE, Mariano",,,ARG
30,"KOPRIVA, Vit",,,CZE
31,,,BYE,
32,"DARDERI, Luciano",2,,ITA
