pos,player_name,seed,tag,country
1,"WC1 AUGER-ALIASSIME, Felix",,,CAN
2,,,BYE,
3,"MEDJEDOVIC, Hamad",,,SRB
4,"WAWRINKA, Stan",,WC,SUI
7,"ROYER, Valentin",,,FRA
8,"FILS, Arthur",6,,FRA
9,"GRIEKSPOOR, Tallon",,,NED
10,,,BYE,
11,"KECMANOVIC, Miomir",,,SRB
12,"CARRENO BUSTA, Pablo",,,ESP
14,"CHOINSKI, Jan",,,GBR
16,"KOVACEVIC, Aleksandar",8,,USA
17,"HUMBERT, Ugo",5,,FRA
18,"VAN DE ZANDSCHULP, …",,,NED
19,"MARTINEZ, Pedro",,,ESP
20,"MANNARINO, Adrian",,,FRA
21,"GEA, Arthur",,WC,FRA
22,"MPETSHI PERRICARD, …",,,FRA
23,,,BYE,
24,"MACHAC, Tomas",3,,CZE
25,"HURKACZ, Hubert",7,,POL
27,"BAUTISTA AGUT, Roberto",,,ESP
28,"O'CONNELL, Christopher",,,AUS
29,"BASILASHVILI, Nikoloz",,,GEO
30,"NARDI, Luca",,,ITA
31,,,BYE,
32,"WC2 COBOLLI, Flavio",,,ITA
