pos,player_name,seed,tag,country
12,"January — 17 January 2026, |",,,USD
1,"SHELTON, Ben",1,,USA
2,,,BYE,
3,"COMESANA, Francisco",,,ARG
4,"ROYER, Valentin",,,FRA
5,"BROOKSBY, Jenson",,,USA
6,"WATT, James",,WC,NZL
7,"NAVA, Emilio",,Q,USA
8,"BAEZ, Sebastian",7,,ARG
9,"DARDERI, Luciano",4,,ITA
10,,,BYE,
11,"TABILO, Alejandro",,WC,CHI
13,"MULLER, Alexandre",,,FRA
14,"SE GIRON, Marcos",,,USA
15,"NAVONE, Mariano",,,ARG
16,"MICHELSEN, Alex",6,,USA
17,"NORRIE, Cameron",5,,GBR
18,"GASTON, Hugo",,Q,FRA
19,"BAUTISTA AGUT, Roberto",,WC,ESP
20,"MPETSHI PERRICARD, …",,,FRA
21,"MEDJEDOVIC, Hamad",,Q,SRB
22,"KOVACEVIC, Aleksandar",,,USA
23,,,BYE,
24,"MENSIK, Jakub",3,,CZE
25,"BORGES, Nuno",8,,POR
26,"ETCHEVERRY, Tomas M…",,,ARG
27,"MANNARINO, Adrian",,,FRA
28,"SPIZZIRRI, Eliot",,Q,USA
29,"MAROZSAN, Fabian",,,HUN
30,"MONFILS, Gael",,,FRA
31,,,BYE,
32,"RUUD, Casper",2,,NOR
